Date,Close,High,Low,Open,Volume
01-01-2015,2519.949951,2580,2510,2580,10
02-01-2015,2519.949951,2519.949951,2519.949951,2519.949951,0
05-01-2015,2540,2544.909912,2515.149902,2520,30
06-01-2015,2527.060059,2527.060059,2527.060059,2527.060059,78
07-01-2015,2584,2584,2578,2578,3
08-01-2015,2533.75,2540,2502,2520,26
09-01-2015,2533.75,2533.75,2533.75,2533.75,0
12-01-2015,2533.75,2533.75,2533.75,2533.75,0
13-01-2015,2575,2575,2575,2575,5
14-01-2015,2575,2575,2575,2575,0
15-01-2015,2575,2575,2575,2575,0
16-01-2015,2575,2575,2575,2575,0
19-01-2015,2575,2575,2575,2575,0
20-01-2015,2589,2661,2589,2661,2
21-01-2015,2589,2589,2589,2589,0
22-01-2015,2625,2655,2625,2655,16
23-01-2015,2650,2670,2615,2615,85
27-01-2015,2650,2650,2650,2650,0
28-01-2015,2650,2650,2650,2650,0
29-01-2015,2650,2650,2650,2650,0
30-01-2015,2563.01001,2615,2563,2563,9
02-02-2015,2650,2650,2650,2650,4
03-02-2015,2595,2595,2595,2595,5
04-02-2015,2595,2595,2595,2595,0
05-02-2015,2595,2595,2595,2595,0
06-02-2015,2595,2595,2595,2595,0
09-02-2015,2595,2595,2595,2595,0
10-02-2015,2595,2595,2595,2595,0
11-02-2015,2595,2595,2595,2595,0
12-02-2015,2535,2535,2520,2525,43
13-02-2015,2535,2535,2535,2535,0
16-02-2015,2535,2535,2535,2535,0
18-02-2015,2521,2521,2514,2520,6
19-02-2015,2521,2521,2521,2521,0
20-02-2015,2521,2521,2521,2521,0
23-02-2015,2521,2521,2521,2521,0
24-02-2015,2521,2521,2521,2521,0
25-02-2015,2521,2521,2521,2521,0
26-02-2015,2488.199951,2490,2456,2486,38
27-02-2015,2488.199951,2488.199951,2488.199951,2488.199951,0
02-03-2015,2505,2505,2485,2485,4
03-03-2015,2505,2505,2505,2505,0
04-03-2015,2475.01001,2506,2475.01001,2506,4
05-03-2015,2561,2563,2561,2563,2
09-03-2015,2451.149902,2519,2417.01001,2417.01001,26
10-03-2015,2451.149902,2451.149902,2451.149902,2451.149902,0
11-03-2015,2451.149902,2451.149902,2451.149902,2451.149902,0
12-03-2015,2430,2450,2430,2440,62
13-03-2015,2482.98999,2482.98999,2445,2445,3
16-03-2015,2482.98999,2482.98999,2482.98999,2482.98999,0
17-03-2015,2411,2506,2411,2506,9
18-03-2015,2411,2411,2411,2411,0
19-03-2015,2450,2450,2450,2450,1
20-03-2015,2421.25,2421.25,2421.25,2421.25,2
23-03-2015,2435.050049,2435.050049,2424,2424,11
24-03-2015,2435.050049,2435.050049,2435.050049,2435.050049,0
25-03-2015,2436.01001,2436.01001,2436.01001,2436.01001,8
26-03-2015,2587.5,2600,2524,2524,17
27-03-2015,2478,2560,2470,2560,7
30-03-2015,2478,2478,2478,2478,0
31-03-2015,2478,2478,2478,2478,0
01-04-2015,2478,2478,2478,2478,0
06-04-2015,2478,2478,2478,2478,0
07-04-2015,2550,2550,2500,2500,22
08-04-2015,2550,2550,2550,2550,0
09-04-2015,2500,2500,2478,2478,2
10-04-2015,2500,2500,2500,2500,0
13-04-2015,2500,2500,2500,2500,0
15-04-2015,2500,2500,2500,2500,0
16-04-2015,2500,2500,2500,2500,0
17-04-2015,2500,2500,2500,2500,0
20-04-2015,2481,2501,2481,2501,25
21-04-2015,2572,2572,2500,2505.01001,62
22-04-2015,2579.590088,2581,2502.25,2502.25,17
23-04-2015,2579.590088,2579.590088,2579.590088,2579.590088,0
24-04-2015,2579.590088,2579.590088,2579.590088,2579.590088,0
27-04-2015,2579.590088,2579.590088,2579.590088,2579.590088,0
28-04-2015,2519,2519,2519,2519,1
29-04-2015,2519,2519,2519,2519,0
30-04-2015,2519,2519,2519,2519,0
04-05-2015,2538,2538,2532,2532,4
05-05-2015,2538,2538,2538,2538,0
06-05-2015,2538,2538,2538,2538,0
07-05-2015,2538,2538,2538,2538,0
08-05-2015,2550,2550,2538,2538,12
11-05-2015,2550,2550,2550,2550,0
12-05-2015,2539,2540,2539,2540,4
13-05-2015,2539,2539,2539,2539,0
14-05-2015,2539,2539,2539,2539,0
15-05-2015,2539,2539,2539,2539,0
18-05-2015,2539,2539,2539,2539,0
19-05-2015,2539,2539,2539,2539,0
20-05-2015,2539,2539,2539,2539,0
21-05-2015,2596.889893,2636,2548,2548,9
22-05-2015,2596.889893,2596.889893,2596.889893,2596.889893,0
25-05-2015,2625,2625,2550,2550,2
26-05-2015,2625,2625,2625,2625,0
27-05-2015,2625,2625,2625,2625,0
28-05-2015,2525,2550,2520,2520,27
29-05-2015,2525,2550,2520,2520,27
01-06-2015,2501,2544,2481,2544,27
02-06-2015,2505,2595,2505,2595,4
03-06-2015,2505,2505,2505,2505,0
04-06-2015,2545,2545,2545,2545,25
05-06-2015,2545,2545,2545,2545,0
08-06-2015,2545,2545,2545,2545,0
09-06-2015,2545,2545,2545,2545,0
10-06-2015,2545,2545,2545,2545,0
11-06-2015,2545,2545,2545,2545,0
12-06-2015,2525,2525,2525,2525,25
15-06-2015,2525,2525,2525,2525,0
16-06-2015,2525,2525,2525,2525,0
17-06-2015,2525,2525,2525,2525,0
18-06-2015,2525,2525,2525,2525,0
19-06-2015,2500,2505,2499,2505,51
22-06-2015,2500,2500,2500,2500,0
23-06-2015,2500,2500,2480,2480,5
24-06-2015,2461.149902,2490,2461.01001,2480,43
25-06-2015,2461.149902,2461.149902,2461.149902,2461.149902,0
26-06-2015,2461.149902,2461.149902,2461.149902,2461.149902,0
29-06-2015,2500,2500,2499,2499,29
30-06-2015,2500,2500,2500,2500,0
01-07-2015,2490,2536,2490,2536,3
02-07-2015,2493,2493,2493,2493,6
03-07-2015,2493,2493,2493,2493,0
06-07-2015,2450.100098,2470,2450.01001,2470,11
